"hemisphere","craterSize"
"SUR","(60,80]"
"SUR","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","(40,60]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"SUR","(40,60]"
"SUR","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(60,80]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"NORTE","(60,80]"
"SUR","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"SUR","[80, )"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","(40,60]"
"SUR","(60,80]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[80, )"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(40,60]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"SUR","(60,80]"
"SUR","[80, )"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(60,80]"
"NORTE","[80, )"
"SUR","(60,80]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","(40,60]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"SUR","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[80, )"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"NORTE","[20,40]"
"SUR","(60,80]"
"SUR","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","(60,80]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","(40,60]"
"SUR","(40,60]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[80, )"
"SUR","(40,60]"
"NORTE","(40,60]"
"SUR","(60,80]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"SUR","(60,80]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"SUR","[80, )"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"SUR","(40,60]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","[80, )"
"SUR","[80, )"
"SUR","[20,40]"
"NORTE","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","(60,80]"
"NORTE","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","(60,80]"
"SUR","[80, )"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","(40,60]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","(60,80]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[80, )"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[80, )"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","(40,60]"
"SUR","[80, )"
"NORTE","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","(40,60]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"SUR","[20,40]"
"NORTE","[80, )"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[80, )"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","(60,80]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(60,80]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[20,40]"
"NORTE","[80, )"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","[20,40]"
"NORTE","(40,60]"
"NORTE","(40,60]"
"NORTE","[80, )"
"NORTE","(60,80]"
"NORTE","(60,80]"
"NORTE","[20,40]"
